Name;Author;GITHUB Link;MEGA Link;Publication Year;SYNC Link;Topics;Type;cover page
Common Questions on Vitamin E and Their Answers;Evan V. Shute;https://raw.githubusercontent.com/peatysharing/bibliography/main/Evan%20V.%20Shute/1979%20-%20Common%20Questions%20on%20Vitamin%20E%20and%20Their%20Answers.pdf;https://mega.nz/file/IkhjnbxC#AGD8Sa15aIblSmhpNez0cEdVfiGjVDaKoAsvtoJ5YdU;1979;;;Book;img/cover page/Evan V. Shute/1979 - Common Questions on Vitamin E and Their Answers.webp
The Vitamin E Story, The Medical Memoirs Of Evan Shute;Evan V. Shute;https://raw.githubusercontent.com/peatysharing/bibliography/main/Evan%20V.%20Shute/1985%20-%20Evan%20V.%20Shute%20-%20The%20Vitamin%20E%20Story%2C%20The%20Medical%20Memoirs%20Of%20Evan%20Shute.pdf;https://mega.nz/file/E4AFgQAb#uPk-8OrvkCetP-ogDu-jJFCxqPHAeWXkBHO6LKyvFIM;1985;;;Book;img/cover page/Evan V. Shute/1985 - The Vitamin E Story, The Medical Memoirs Of Evan Shute.webp
The Influence Of Vitamin E On Vascular Disease;Evan V. Shute, Arthur B. Vogelsang, Floyd R. Skelton, Wilfred E. Shute;https://raw.githubusercontent.com/peatysharing/bibliography/main/Evan%20V.%20Shute/1948%20-%20Evan%20V.%20Shute%3B%20Arthur%20B.%20Vogelsang%3B%20Floyd%20R.%20Skelton%3B%20Wilfred%20E.%20Shute%20-%20The%20Influence%20Of%20Vitamin%20E%20On%20Vascular%20Disease.pdf;https://mega.nz/file/R0ZgxbBL#Tpy2txxxKxRZE0qyWZqdVF2ZUVK_bu5Ay8S3c8s_7K8;1948;;;Article;img/cover page/Evan V. Shute/1948 - The Influence Of Vitamin E On Vascular Disease.webp
Synchronicity, The Bridge Between Matter And Mind;F. David Peat;https://raw.githubusercontent.com/peatysharing/bibliography/main/Francis%20David%20Peat/1987%20-%20F.%20David%20Peat%20-%20Synchronicity%2C%20The%20Bridge%20Between%20Matter%20And%20Mind.pdf;https://mega.nz/file/M4xx0YyJ#-eoPGp-xy0Y2TQj2W-raknkqOfReuoi3xb1BN_C6XRw;1987;;;Book;img/cover page/Francis David Peat/1987 - Synchronicity, The Bridge Between Matter And Mind.webp
The Philosopher's Stone, Chaos, Synchronicity, And The Hidden Order Of The World;F. David Peat;https://raw.githubusercontent.com/peatysharing/bibliography/main/Francis%20David%20Peat/1991%20-%20F.%20David%20Peat%20-%20The%20Philosopher%27s%20Stone%2C%20Chaos%2C%20Synchronicity%2C%20And%20The%20Hidden%20Order%20Of%20The%20World.pdf;https://mega.nz/file/o8w3HaaJ#vv6Usbe3JJcNMnxTw6edxI5HQYQYvn5VeihJkwkDFTU;1991;;;Book;img/cover page/Francis David Peat/1991 - The Philosopher's Stone, Chaos, Synchronicity, And The Hidden Order Of The World.webp
Adaptation, Stress, and Prophylaxis;Felix Z. meerson;https://raw.githubusercontent.com/peatysharing/bibliography/main/Felix%20Z.%20Meerson/1984%20-%20Felix%20Z.%20meerson%20-%20Adaptation%2C%20Stress%2C%20and%20Prophylaxis.pdf;https://mega.nz/file/0lommTrZ#1gF1Zl2cCWzAKjrp7nNsMo-vr3T_7kKcQwm8nlYMdL0;1984;;;;img/cover page/Felix Z. Meerson/1984 - Adaptation, Stress, and Prophylaxis.webp
Adaptive Protection Of The Heart-protecting Against Stress And Ischemic Damage [part 1];Felix Z. Meerson;https://raw.githubusercontent.com/peatysharing/bibliography/main/Felix%20Z.%20Meerson/1991%20-%20Felix%20Z.%20Meerson%20-%20Adaptive%20Protection%20Of%20The%20Heart-protecting%20Against%20Stress%20And%20Ischemic%20Damage%20%5Bpart%201%5D.pdf;https://mega.nz/file/UhYVhQoZ#r5AWXlbKaqSdcJfZq9WDEmEw3Jws1r3OWai7GG8sPuI;1991;;;Book;img/cover page/Felix Z. Meerson/1991 - Adaptive Protection Of The Heart-protecting Against Stress And Ischemic Damage.webp
Adaptive Protection Of The Heart-protecting Against Stress And Ischemic Damage [part 2];Felix Z. Meerson;https://raw.githubusercontent.com/peatysharing/bibliography/main/Felix%20Z.%20Meerson/1991%20-%20Felix%20Z.%20Meerson%20-%20Adaptive%20Protection%20Of%20The%20Heart-protecting%20Against%20Stress%20And%20Ischemic%20Damage%20%5Bpart%202%5D.pdf;https://mega.nz/file/g8YW1IbR#y_Zb6eSfxke0wofttUE611wJJkRTJVeJfueaUEx1ZYQ;1991;;;Book;img/cover page/Felix Z. Meerson/1991 - Adaptive Protection Of The Heart-protecting Against Stress And Ischemic Damage.webp
Life Itself, Its Origin And Nature;Francis Crick;https://raw.githubusercontent.com/peatysharing/bibliography/main/Francis%20Crick/1981%20-%20Francis%20Crick%20-%20Life%20Itself%2C%20Its%20Origin%20And%20Nature.pdf;https://mega.nz/file/MgonnZhb#g2TY0m9IVAPqMrtsA8RFQ5bQvvtEKcYnLlNOr63GD4U;1981;;;Book;img/cover page/Francis Crick/1981 - Life Itself, Its Origin And Nature.webp
Concepts In Biochemistry;Francis J. Reithel;https://raw.githubusercontent.com/peatysharing/bibliography/main/Francis%20Joseph%20Reithel/1967%20-%20Francis%20J.%20Reithel%20-%20Concepts%20In%20Biochemistry.pdf;https://mega.nz/file/UowmhZIA#7mCCD_tmeritNY3upCU6QjpJmVDJwV3Jq0zOz4EAP6M;1967;;;Book;img/cover page/Francis Joseph Reithel/1967 - Concepts In Biochemistry.webp
Biological Clocks, Endogenous Cycles Synchronized By Subtle Geophysical Rhythms;Frank Arthur Brown Jr.;https://raw.githubusercontent.com/peatysharing/bibliography/main/Frank%20Arthur%20Brown%20Junior/1976%20-%20Frank%20Arthur%20Brown%20Jr.%20-%20Biological%20Clocks%2C%20Endogenous%20Cycles%20Synchronized%20By%20Subtle%20Geophysical%20Rhythms.pdf;https://mega.nz/file/VsoxiDZT#6BmC-B0OIlLYjvAG3mXjA2ETb4coXQuIYImfGp5ZuNU;1976;;;Article;img/cover page/Frank Arthur Brown Junior/1976 - Biological Clocks, Endogenous Cycles Synchronized By Subtle Geophysical Rhythms.webp
The Biological Clock, Two Views;Frank Arthur Brown Jr., J. Woodland Hastings, John D. Palmer;https://raw.githubusercontent.com/peatysharing/bibliography/main/Frank%20Arthur%20Brown%20Junior/1970%20-%20Frank%20Arthur%20Brown%20Jr.%3B%20J.%20Woodland%20Hastings%3B%20John%20D.%20Palmer%20-%20The%20Biological%20Clock%2C%20Two%20Views.pdf;https://mega.nz/file/dtoFCBzK#I82IS0bwHKtbkZP6p1k-4573mLRKJGTUYZZWaScID2o;1970;;;Book;img/cover page/Frank Arthur Brown Junior/1970 - The Biological Clock, Two Views.webp
Magnetic Induction Of A Circadian Cycle In Hamsters;Frank Arthur Brown Jr., Kate M. Scow;https://raw.githubusercontent.com/peatysharing/bibliography/main/Frank%20Arthur%20Brown%20Junior/1978%20-%20Frank%20Arthur%20Brown%20Jr.%3B%20Kate%20M.%20Scow%20-%20Magnetic%20Induction%20Of%20A%20Circadian%20Cycle%20In%20Hamsters.pdf;https://mega.nz/file/ElRRVZRY#4-nR29ljBokIruQojjkUqTcM4APVqiin-i-l_nXjVDY;1978;;;;img/cover page/Frank Arthur Brown Junior/1978 - Magnetic Induction Of A Circadian Cycle In Hamsters.webp
Race And Progress;Franz Boas;https://raw.githubusercontent.com/peatysharing/bibliography/main/Franz%20Boas/1931%20-%20Franz%20Boas%20-%20Race%20And%20Progress.pdf;https://mega.nz/file/lkwUURRD#E1j9u8dFo613BLToACNlZPGmZTeFHHulfdygapa7Ycg;1931;;;Article;img/cover page/Franz Boas/1931 - Race And Progress.webp
General Anthropology;Franz Boas;https://raw.githubusercontent.com/peatysharing/bibliography/main/Franz%20Boas/1938%20-%20Franz%20Boas%20-%20General%20Anthropology.pdf;https://mega.nz/file/QsASmDZD#fugnJ2q2w7u0dkU8q1VLF0YEA9unqHAYN1uMWX_N0d8;1938;;;Book;img/cover page/Franz Boas/1938 - General Anthropology.webp
Anthropology And Modern Life;Franz Boas;https://raw.githubusercontent.com/peatysharing/bibliography/main/Franz%20Boas/1962%20-%20Franz%20Boas%20-%20Anthropology%20And%20Modern%20Life.pdf;https://mega.nz/file/VsZSwaQQ#JXTgnyixomX38AKYaQgzrICnqiVKV8kEGPSwYCmXXzk;1962;;;Book;img/cover page/Franz Boas/1962 - Anthropology And Modern Life.webp
Psychology From An Empirical Standpoint;Franz Brentano;https://raw.githubusercontent.com/peatysharing/bibliography/main/Franz%20Brentano/1973%20-%20Franz%20Brentano%20-%20Psychology%20From%20An%20Empirical%20Standpoint.pdf;https://mega.nz/file/QtpxwSyJ#EtF5DYUQKxKmpl8hndHzNq0WdccleKfiSLBDcQomYGQ;1973;;;Book;img/cover page/Franz Brentano/1973 - Psychology From An Empirical Standpoint.webp
A Survey Of Human Biometeorology;Frederick Sargent II, Solco Walle Tromp;https://raw.githubusercontent.com/peatysharing/bibliography/main/Solco%20Walle%20Tromp/1964%20-%20Frederick%20Sargent%20II%3B%20Solco%20Walle%20Tromp%20-%20A%20Survey%20Of%20Human%20Biometeorology.pdf;https://mega.nz/file/xt5WCBSB#FwKSP39hRQaSUmAB-9tMo4pd_njzCXwUWIZktm8kbmE;1964;;;Book;img/cover page/Solco Walle Tromp/1964 - A Survey Of Human Biometeorology.webp
Radio-Activity;Frederick Soddy;https://raw.githubusercontent.com/peatysharing/bibliography/main/Frederick%20Soddy/1904%20-%20Frederick%20Soddy%20-%20Radio-Activity.pdf;https://mega.nz/file/w1R0jQDT#OxJhPEBGO7jJ4C44yNQlF4QvkBbjsHvcu52tWQNuK7o;1904;;;;img/cover page/Frederick Soddy/1904 - Radio-Activity.webp
The Chemistry Of The Radio-Elements;Frederick Soddy;https://raw.githubusercontent.com/peatysharing/bibliography/main/Frederick%20Soddy/1911%20-%20Frederick%20Soddy%20-%20The%20Chemistry%20Of%20The%20Radio-Elements.pdf;https://mega.nz/file/tppSFJSC#rIdXaomgYOW2uxTE6NZSgUpl4_NIfuNqAjRBs6MmuWg;1911;;;Book;img/cover page/Frederick Soddy/1911 - The Chemistry Of The Radio-Elements.webp
Matter And Energy;Frederick Soddy;https://raw.githubusercontent.com/peatysharing/bibliography/main/Frederick%20Soddy/1912%20-%20Frederick%20Soddy%20-%20Matter%20And%20Energy.pdf;https://mega.nz/file/sgxjDLjJ#6qDRDe6RcbdpFf4C4yC1CXn_H1yonOqwxYVKQP60H0M;1912;;;Book;img/cover page/Frederick Soddy/1912 - Matter And Energy.webp
Money Versus Man;Frederick Soddy;https://raw.githubusercontent.com/peatysharing/bibliography/main/Frederick%20Soddy/1931%20-%20Frederick%20Soddy%20-%20Money%20Versus%20Man.pdf;https://mega.nz/file/NkZ30DYK#LBGk5En5Yh_ZVloG7dEFIGLEtihdf9lh3G7coYbeSLY;1931;;;Book;img/cover page/Frederick Soddy/1931 - Money Versus Man.webp
The Interpretation of the Atom;Frederick Soddy;https://raw.githubusercontent.com/peatysharing/bibliography/main/Frederick%20Soddy/1932%20-%20Frederick%20Soddy%20-%20The%20Interpretation%20of%20the%20Atom.pdf;https://mega.nz/file/15pGDTbD#gqq_XUTAyXLtjK9IKrPMU3fRSSiICV7viRUP1Li2KEY;1932;;;;img/cover page/Frederick Soddy/1932 - The Interpretation of the Atom.webp
The Role Of Money, What It Should Be, Constrasted With What It Has Become;Frederick Soddy;https://raw.githubusercontent.com/peatysharing/bibliography/main/Frederick%20Soddy/1934%20-%20Frederick%20Soddy%20-%20The%20Role%20Of%20Money%2C%20What%20It%20Should%20Be%2C%20Constrasted%20With%20What%20It%20Has%20Become.pdf;https://mega.nz/file/Y94myYqT#WO5Ea9T-B48DZCd4z6QqnVSOrWU17GV41acebsquvFI;1934;;;Book;img/cover page/Frederick Soddy/1934 - The Role Of Money, What It Should Be, Constrasted With What It Has Become.webp
Oestrogenic Function in Postmenopausal Women;G. A. Dove;https://raw.githubusercontent.com/peatysharing/bibliography/main/G.%20A.%20Dove/1971%20-%20G.%20A.%20Dove%20-%20Oestrogenic%20Function%20in%20Postmenopausal%20Women.pdf;https://mega.nz/file/40IDhCRD#gDRxSuRZJ5Iyh2Kgk85Bx1Db-uJpLsoQqj5eEaXL-co;1971;;;;img/cover page/G. A. Dove/1971 - Oestrogenic Function in Postmenopausal Women.webp
The Influences Of Illumination, Melatonin And Pinealectomy On Testicular Function In The Rat;G. A. Kinson, Frances Peat;https://raw.githubusercontent.com/peatysharing/bibliography/main/G.%20A.%20Kinson/1971%20-%20G.%20A.%20Kinson%3B%20Frances%20Peat%20-%20The%20Influences%20Of%20Illumination%2C%20Melatonin%20And%20Pinealectomy%20On%20Testicular%20Function%20In%20The%20Rat.pdf;https://mega.nz/file/c1pWUKBA#92a-uMHsbVaTQ1julnXbGupnZR5NXgVwor3d0gQCJj8;1971;;;Article;img/cover page/G. A. Kinson/1971 - The Influences Of Illumination, Melatonin And Pinealectomy On Testicular Function In The Rat.webp
Molecular Versus System Theories On The Genesis Of Ageing;G. A. Sacher;https://raw.githubusercontent.com/peatysharing/bibliography/main/G.%20A.%20Sacher/1968%20-%20G.%20A.%20Sacher%20-%20Molecular%20Versus%20System%20Theories%20On%20The%20Genesis%20Of%20Ageing.pdf;https://mega.nz/file/40QSnQ5B#6Z0q5m0zWu1U_vf4aOWA2U7i0Boz7zFdz0oIsMnAnH4;1968;;;Article;img/cover page/G. A. Sacher/1968 - Molecular Versus System Theories On The Genesis Of Ageing.webp
Serotonin As A Growth Factor For Chick Embryo Brain;G. Ahmad, S. Zamenhof;https://raw.githubusercontent.com/peatysharing/bibliography/main/G.%20Ahmad/1978%20-%20G.%20Ahmad%3B%20S.%20Zamenhof%20-%20Serotonin%20As%20A%20Growth%20Factor%20For%20Chick%20Embryo%20Brain.pdf;https://mega.nz/file/4sogQJhZ#5Ht4HdtX9nneruecySBu6Fguwb2D0I66wiVbsrItDxI;1978;;;Article;img/cover page/G. Ahmad/1978 - Serotonin As A Growth Factor For Chick Embryo Brain.webp
Toxic Effects Of Phencyclidine On Developing Chick Embryo Brain;G. Ahmad, S. Zamenhof;https://raw.githubusercontent.com/peatysharing/bibliography/main/G.%20Ahmad/1987%20-%20G.%20Ahmad%3B%20S.%20Zamenhof%20-%20Toxic%20Effects%20Of%20Phencyclidine%20On%20Developing%20Chick%20Embryo%20Brain.pdf;https://mega.nz/file/R5I0UByQ#QHPDXhWylqIm9KrprB0CmYhYGEk-v3HN4I-17pmmOt4;1987;;;Article;img/cover page/G. Ahmad/1987 - Toxic Effects Of Phencyclidine On Developing Chick Embryo Brain.webp
The Thymus, Experimental And Clinical Studies;G. E. W. Wolstenholme, Ruth Porter;https://raw.githubusercontent.com/peatysharing/bibliography/main/G.%20E.%20W.%20Wolstenholm/1966%20-%20G.%20E.%20W.%20Wolstenholme%3B%20Ruth%20Porter%20-%20The%20Thymus%2C%20Experimental%20And%20Clinical%20Studies.pdf;https://mega.nz/file/ItICUQbQ#5p0qu2vkRegpaolezmUf_VAfITGbe-tPUIXtjUSK1To;1966;;;Book;img/cover page/G. E. W. Wolstenholme/1966 - The Thymus, Experimental And Clinical Studies.webp
Studies on the Mechanism of Retinal Neo-Vascularization - Role of Lactic Acid;G. Imre;https://raw.githubusercontent.com/peatysharing/bibliography/main/G.%20Imre/1964%20-%20G.%20Imre%20-%20Studies%20on%20the%20Mechanism%20of%20Retinal%20Neo-Vascularization%20-%20Role%20of%20Lactic%20Acid.pdf;https://mega.nz/file/ckByDLJC#ppcz_vf_-3z4CvxnkhP48EctTUMKJJkSWqsJ-Mcsb-Q;1964;;;;img/cover page/G. Imre/1964 - Studies on the Mechanism of Retinal Neo-Vascularization - Role of Lactic Acid.webp
Historical Introduction To Modern Psychology;Gardner Murphy, Joseph K. Kovach;https://raw.githubusercontent.com/peatysharing/bibliography/main/Gardner%20Murphy/1972%20-%20Gardner%20Murphy%3B%20Joseph%20K.%20Kovach%20-%20Historical%20Introduction%20To%20Modern%20Psychology.pdf;https://mega.nz/file/AhI2WIIS#VPjQqd377Uq1uxwSdkq98flrWDe3_BtEdY7JzkkY2fU;1972;;;Book;img/cover page/Gardner Murphy/1972 - Historical Introduction To Modern Psychology.webp
The Effect Of Prenatal Malnutrition On Dimensions Of Cerebral Cortex;Geoffrey M. Clark, Stephen Zamenhof, Edith Van Marthens, Ludmila Grauel, Lawrence Kruger;https://raw.githubusercontent.com/peatysharing/bibliography/main/Geoffrey%20M.%20Clark/1973%20-%20Geoffrey%20M.%20Clark%3B%20Stephen%20Zamenhof%3B%20Edith%20Van%20Marthens%3BLudmila%20Grauel%3B%20Lawrence%20Kruger%20-%20The%20Effect%20Of%20Prenatal%20Malnutrition%20On%20Dimensions%20Of%20Cerebral%20Cortex.pdf;https://mega.nz/file/s1pWFALa#JPDyo2od64kiahPTrgE07B49O72toMgHQjfNUswuNHo;1973;;;Article;img/cover page/Geoffrey M. Clark/1973 - The Effect Of Prenatal Malnutrition On Dimensions Of Cerebral Cortex.webp
Hyperthyroidism In The Extremes Of Life;George Crile Jr.;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Crile%20Junior/1938%20-%20George%20Crile%20Jr.%20-%20Hyperthyroidism%20In%20The%20Extremes%20Of%20Life.pdf;https://mega.nz/file/B5BVSQ5a#E9vAsWEqqsoX5D09WDSJRcMlC6qwVr6XnyjTYqNsffo;1938;;;Article;img/cover page/George Crile Junior/1938 - Hyperthyroidism In The Extremes Of Life.webp
Treatment Of Thyroiditis;George Crile Jr.;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Crile%20Junior/1948%20-%20George%20Crile%20Jr.%20-%20Treatment%20Of%20Thyroiditis.pdf;https://mega.nz/file/MlgA0KDR#-qH2-7mLE0yTbF1NwHwAcMxKLFon416Eh3vMbW4PNvs;1948;;;;img/cover page/George Crile Junior/1948 - Treatment Of Thyroiditis.webp
Indications For Removal Of Nontoxic Nodular Goiters;George Crile Jr.;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Crile%20Junior/1949%20-%20George%20Crile%20Jr.%20-%20Indications%20For%20Removal%20Of%20Nontoxic%20Nodular%20Goiters.pdf;https://mega.nz/file/w9Y1FYjS#WfIunWLD8oFuMzcP7rsxg4sh4zZyNlnNriH6FT1UVZ4;1949;;;Article;img/cover page/George Crile Junior/1949 - Indications For Removal Of Nontoxic Nodular Goiters.webp
Practical Aspects Of Thyroid Disease;George Crile Jr.;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Crile%20Junior/1949%20-%20George%20Crile%20Jr.%20-%20Practical%20Aspects%20Of%20Thyroid%20Disease.pdf;https://mega.nz/file/8kZ31JYD#LLKmvIFEJLc1r-ufezbOWaHp_gBhiUr3xPd39fxs0SU;1949;;;Book;img/cover page/George Crile Junior/1949 - Practical Aspects Of Thyroid Disease.webp
Subacute Thyroiditis;George Crile Jr.;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Crile%20Junior/1950%20-%20George%20Crile%20Jr.%20-%20Subacute%20Thyroiditis.pdf;https://mega.nz/file/dxwESBgZ#12AQIpxS4UlKMgOflyt9ksGttcSvc-LWlV0b_pyHJG8;1950;;;Article;img/cover page/George Crile Junior/1950 - Subacute Thyroiditis.webp
Thyroid Nodules And The Fallacy Of 'All Or None' Teaching;George Crile Jr.;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Crile%20Junior/1959%20-%20George%20Crile%20Jr.%20-%20Thyroid%20Nodules%20And%20The%20Fallacy%20Of%20%27All%20Or%20None%27%20Teaching.pdf;https://mega.nz/file/BgxUQIya#3pvJmPXxiO3J2IlCFiomKNVbVUFPxHYKRH6CxZL1E2k;1959;;;Article;img/cover page/George Crile Junior/1959 - Thyroid Nodules And The Fallacy Of 'All Or None' Teaching.webp
Exophthalmic Goiter In A Boy Two And One-Half Years Of Age;George Crile Jr., J. Lewis Blanton;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Crile%20Junior/1937%20-%20George%20Crile%20Jr.%3B%20J.%20Lewis%20Blanton%20-%20Exophthalmic%20Goiter%20In%20A%20Boy%20Two%20And%20One-Half%20Years%20Of%20Age.pdf;https://mega.nz/file/xoZyyZrI#MwQBX-9gWicaKy1_YGiLPZX3VqjMvjUEpUN8hgOxi8U;1937;;;Article;img/cover page/George Crile Junior/1937 - Exophthalmic Goiter In A Boy Two And One-Half Years Of Age.webp
Anesthesia For Thyroidectomy;George Crile Jr., Lou E. Adams;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Crile%20Junior/1938%20-%20George%20Crile%20Jr.%3B%20Lou%20E.%20Adams%20-%20Anesthesia%20For%20Thyroidectomy.pdf;https://mega.nz/file/d8oDHTiZ#VZNaHK8de9Xpc0_fi0R_I9UJmQNKLJoJ0HFWVaLOYsY;1938;;;Article;img/cover page/George Crile Junior/1938 - Anesthesia For Thyroidectomy.webp
In Search Of the Miraculous;George Ivanovich Gurdhieff;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Ivanovich%20Gurdhieff/1949%20-%20P.%20D.%20Ouspensky%20-%20In%20Search%20Of%20the%20Miraculous.pdf;https://mega.nz/file/4pRD2LzR#Kyls6McvHRyuWFim5b36bMtOCxf24MeNY-Ca9ozzIaU;1949;;;Book;img/cover page/George Ivanovich Gurdhieff/1949 - In Search Of the Miraculous.webp
Meetings With Remarkable Men;George Ivanovich Gurdhieff;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Ivanovich%20Gurdhieff/1963%20-%20George%20Ivanovich%20Gurdhieff%20-%20Meetings%20With%20Remarkable%20Men.pdf;https://mega.nz/file/p5ZGCLwA#GnusOWYCMMtXnKs2XmEZPLXjPzjeM2SDntgc5tQcXeA;1963;;;Book;img/cover page/George Ivanovich Gurdhieff/1963 - Meetings With Remarkable Men.webp
Transcripts of Gurdjieff's Meetings 1941-1946;George Ivanovich Gurdhieff;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Ivanovich%20Gurdhieff/2008%20-%20George%20Ivanovich%20Gurdhieff%20-%20Transcripts%20of%20Gurdjieff%27s%20Meetings%201941-1946.pdf;https://mega.nz/file/0tgxEZBZ#-2JA-C1Ar_66xCOpFovTFQilflTNU5nCK2t02I4KAM4;2008;;;Book;img/cover page/George Ivanovich Gurdhieff/2008 - Transcripts of Gurdjieff's Meetings 1941-1946.webp
In Search Of Being. The Fourth Way To Consciousness;George Ivanovich Gurdhieff;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Ivanovich%20Gurdhieff/2013%20-%20George%20Ivanovich%20Gurdhieff%20-%20In%20Search%20Of%20Being.%20The%20Fourth%20Way%20To%20Consciousness.pdf;https://mega.nz/file/tkgnGTRS#cdl7ReCBMY2ONB2CvgDhs0ugct177sZp_0Y0ciVsJx0;2013;;;Book;img/cover page/George Ivanovich Gurdhieff/2013 - In Search Of Being. The Fourth Way To Consciousness.webp
Views From The Real World;George Ivanovich Gurdjieff;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Ivanovich%20Gurdhieff/1975%20-%20Georges%20Ivanovitch%20Gurdjieff%20-%20Views%20From%20The%20Real%20World.pdf;https://mega.nz/file/1kQwmIjI#GZfDGcTYTAT1zqzjXXNq_a_I1x9MRLbzMtWlye2vrjU;1975;;;Book;img/cover page/George Ivanovich Gurdhieff/1975 - Views From The Real World.webp
Beelzebub's Tales To His grandson. An Objectively Impartial Criticism Of The Life Of Man;George Ivanovich Gurdjieff, Jeanne de Salzmann, A. Orage;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Ivanovich%20Gurdhieff/1973%20-%20Georges%20Ivanovitch%20Gurdjieff%3B%20Jeanne%20de%20Salzmann%3B%20A.%20Orage%20-%20Beelzebub%27s%20Tales%20To%20His%20grandson.%20An%20Objectively%20Impartial%20Criticism%20Of%20The%20Life%20Of%20Man.pdf;https://mega.nz/file/IxpmhAxT#XaHq4SaoymqCcMRBKTBN1MrJU69LxgPgT8GeL9iwYYU;1973;;;Book;img/cover page/George Ivanovich Gurdhieff/1973 - Beelzebub's Tales To His grandson. An Objectively Impartial Criticism Of The Life Of Man.webp
An Experimental And Clinical Research Into Cocain And Eucain;George W. Crile;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Washington%20Crile/1902%20-%20George%20W.%20Crile%20-%20An%20Experimental%20And%20Clinical%20Research%20Into%20Cocain%20And%20Eucain.pdf;https://mega.nz/file/U5gjDajS#ikQbYcseMgqIYSeieff1C-b3FW---jbM52dtoV1LF0c;1902;;;Article;img/cover page/George Washington Crile/1902 - An Experimental And Clinical Research Into Cocain And Eucain.webp
An Experimental Research Into The Resuscitation Of Dogs Killed By Anesthetics And Asphyxia;George W. Crile;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Washington%20Crile/1906%20-%20George%20W.%20Crile%20-%20An%20Experimental%20Research%20Into%20The%20Resuscitation%20Of%20Dogs%20Killed%20By%20Anesthetics%20And%20Asphyxia.pdf;https://mega.nz/file/QswUza6A#ZGZTKcGY3Z1ulq9rh6uaLn-8DATd6ikY-_V-kSVG1PQ;1906;;;Article;img/cover page/George Washington Crile/1906 - An Experimental Research Into The Resuscitation Of Dogs Killed By Anesthetics And Asphyxia.webp
Surgical Aspects Of Graves' Disease With Reference To The Psychic Factor;George W. Crile;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Washington%20Crile/1908%20-%20George%20W.%20Crile%20-%20Surgical%20Aspects%20Of%20Graves%27%20Disease%20With%20Reference%20To%20The%20Psychic%20Factor.pdf;https://mega.nz/file/VggCjTpJ#ftmQM2p-0b94cDj6B0Qh7BLkrGbpZ1oJaoQYmZbcUEs;1908;;;Article;img/cover page/George Washington Crile/1908 - Surgical Aspects Of Graves' Disease With Reference To The Psychic Factor.webp
Certain Problems In The Treatment Of Disease Of The Thyroid Gland;George W. Crile;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Washington%20Crile/1924%20-%20George%20W.%20Crile%20-%20Certain%20Problems%20In%20The%20Treatment%20Of%20Disease%20Of%20The%20Thyroid%20Gland.pdf;https://mega.nz/file/B54E3AaS#IfFQDCALs8AdD6raiFeGD0-1d5ymMnyuI9itISaXQl0;1924;;;Article;img/cover page/George Washington Crile/1924 - Certain Problems In The Treatment Of Disease Of The Thyroid Gland.webp
Recurrent Hyperthyroidism, Neurocirculatory Aqsthenia And Peptic Ulcer;George W. crile;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Washington%20Crile/1931%20-%20George%20W.%20crile%20-%20Recurrent%20Hyperthyroidism%2C%20Neurocirculatory%20Aqsthenia%20And%20Peptic%20Ulcer.pdf;https://mega.nz/file/ok5RwJzI#pyC8BJhB9T_PBYfvhAkr_EuMwn-3sTAoGiusb7RcxeA;1931;;;Article;img/cover page/George Washington Crile/1931 - Recurrent Hyperthyroidism, Neurocirculatory Aqsthenia And Peptic Ulcer.webp
The Phenomena Of Life, A Radio-Electric Interpretation;George W. Crile;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Washington%20Crile/1936%20-%20George%20W.%20Crile%20-%20The%20Phenomena%20Of%20Life%2C%20A%20Radio-Electric%20Interpretation.pdf;https://mega.nz/file/I9RnHJoB#vGpGYuHKWJZ3MhTQRjPwnzNC18DYqTTGo9iNqruMenM;1936;;;Book;img/cover page/George Washington Crile/1936 - The Phenomena Of Life, A Radio-Electric Interpretation.webp
Indian And Eskimpo Metabolism;George W. Crile;https://raw.githubusercontent.com/peatysharing/bibliography/main/George%20Washington%20Crile/1939%20-%20George%20W.%20Crile%20-%20Indian%20And%20Eskimpo%20Metabolism.pdf;https://mega.nz/file/045gjYJa#ZcvWHr9OtrMz0eAgDMkt1vuMv_R-7qQKfMzOi9tg1mw;1939;;;Article;img/cover page/George Washington Crile/1939 - Indian And Eskimpo Metabolism.webp
